"","Lycopodium counted","Charcoal counted","Lycopodium added ","volume (cc) ","Alchornea","Anacardiaceae undiff.","Anthocleista","Antidesma-type","Bridelia ferruginea-type","Celtis","Cussonia","Dombeya-type","Erythrococca-type","Eugenia-type","Ficus","Gnidia-type","Holoptelea grandis","Hymenocardia","Hymenodictyon-type","Hypericum","Ilex mitis","Isoberlinia-type","Ixora-type","Lophira","Macaranga-type","Mallotus-type oppositifolius","Margaritaria discoidea","Maytenus","Mitragyna-type inermis","Morelia senegalensis","Morus","Myrianthus-type","Myrica","Nuxia-type","Olea capensis-type","Podocarpus","Polyscias","Protea-type","Prunus","Pycnanthus","Rapanea","Rhus-type","Salix","Symphonia globulifera","Syzygium-type","Trichilia-type","Uapaca","Zanha","Zanha-1","Acacia","Allophylus","Clematis-type","Maesa","Periploca","Psydrax-type schimperiana","Rhamnaceae undiff.","Rutaceae undiff.","Sapindaceae undiff.","Sapotaceae undiff.","Schefflera","Zanthoxylum-type","Elaeis guineensis","Acalypha","Acanthaceae undiff.","Aizoaceae undiff.","Amaranthaceae/Chenopodiaceae undiff.","Apiaceae undiff.","Asteraceae undiff.","Chassalia","Cichorieae undiff.","Combretaceae/Melastomataceae undiff.","Croton-type","Euphorbiaceae undiff.","Euphorbia-type","Fabaceae undiff.","Hypoestes-type","Justicia-type","Monocotyledoneae undiff.","Rubiaceae undiff.","Solanum-type","Undetermined","Achyranthes-type aspera","Aerva-type lanata","Alchemilla","Alternanthera","Ascolepis","Centaurea-type","Commelina-type benghalensis","Corchorus-type","Cynoglossum-type","Echinops","Fumaria abyssinica-type","Lepidagathis","Mitracarpus villosus","Plantago","Poaceae undiff.","Ricinus communis","Cyperaceae undiff.","Laurembergia tetrandra","Nymphaea","Polygonum senegalense","Potamogeton","Typha","Cyathea-type","Monolètes à épines et non lisses autres","Monoletes undiff.","Polypodium-type polypodioides","Pteris-type","Triletes undiff.","Triletes undiff.-1","Pediastrum","Zygnema","Tetraedron","Anthocerotaceae","Spagnum"
"22","247.0","4973.0","37166.0","0.81","2.0","0","0","0","1.0","3.0","0","3.0","0","0","1.0","0","0","0","0","1.0","0","0","0","0","0","4.0","2.0","31.0","0","3.0","0","0","0","0","1.0","3.0","1.0","0","0","1.0","0","1.0","0","0","4.0","0","0","0","0","0","3.0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","2.0","0","7.0","0","0","2.0","0","0","0","0","2.0","0","0","0","0","4.0","0","0","1.0","0","0","2.0","0","0","0","0","0","0","0","0","300.0","0","616.0","1.0","1.0","11.0","0","0","0","0","19.0","0","0","0","4.0","0","2.0","0","0","0"
"23","165.0","3613.0","37166.0","0.74","2.0","0","0","0","0","4.0","0","0","0","0","1.0","0","0","1.0","0","0","0","0","0","0","0","1.0","0","16.0","0","5.0","0","3.0","0","0","2.0","2.0","0","0","0","0","0","0","1.0","0","4.0","0","0","2.0","0","0","2.0","1.0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","2.0","0","4.0","0","1.0","0","0","0","0","0","0","0","0","0","0","5.0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","264.0","0","528.0","0","0","8.0","0","0","0","0","13.0","0","1.0","2.0","0","0","0","0","0","0"
"24","233.0","7137.0","37166.0","0.75","1.0","2.0","0","0","0","0","0","4.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","16.0","0","2.0","1.0","0","0","0","0","1.0","0","2.0","1.0","0","0","0","0","0","0","0","3.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","2.0","0","7.0","0","0","1.0","0","0","0","0","1.0","0","0","0","0","1.0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","282.0","0","573.0","2.0","1.0","7.0","0","1.0","0","0","0","0","0","1.0","0","4.0","0","0","1.0","0"
"25","129.0","2976.0","37166.0","0.74","2.0","0","2.0","0","1.0","0","0","1.0","1.0","0","0","0","0","0","0","1.0","0","0","0","0","2.0","0","1.0","13.0","0","1.0","0","0","1.0","1.0","2.0","0","0","0","0","0","0","0","0","0","2.0","0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","2.0","0","5.0","0","0","0","0","0","0","0","1.0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","181.0","0","369.0","1.0","0","6.0","1.0","1.0","0","0","11.0","0","1.0","2.0","0","1.0","0","0","0","0"
"26","234.0","6871.0","37166.0","0.73","4.0","2.0","0","0","0","3.0","0","2.0","0","0","2.0","0","0","0","0","0","0","0","0","0","1.0","3.0","0","15.0","2.0","4.0","0","0","0","0","0","1.0","1.0","1.0","2.0","0","0","0","0","0","3.0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","6.0","1.0","0","5.0","0","0","0","0","1.0","1.0","0","0","0","0","1.0","0","1.0","0","0","0","1.0","0","0","0","0","0","0","0","275.0","0","490.0","0","0","8.0","0","2.0","0","0","8.0","0","2.0","2.0","0","3.0","0","0","1.0","0"
"27","194.0","2961.0","37166.0","0.75","36.0","0","0","0","1.0","4.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0","11.0","3.0","33.0","1.0","3.0","0","0","0","0","2.0","50.0","0","0","0","0","0","0","0","1.0","2.0","0","1.0","2.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","5.0","1.0","1.0","1.0","0","0","0","3.0","0","0","0","0","0","10.0","0","0","0","2.0","2.0","0","0","0","0","0","0","0","1.0","0","279.0","0","707.0","10.0","7.0","6.0","0","0","0","0","216.0","0","0","4.0","0","0","0","0","0","0"
"28","207.0","4492.0","37166.0","0.74","4.0","1.0","1.0","0","0","2.0","0","2.0","1.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","7.0","0","5.0","4.0","0","0","0","0","5.0","0","0","0","0","0","0","0","0","2.0","0","1.0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","3.0","0","6.0","0","1.0","0","0","0","0","3.0","0","0","0","0","0","7.0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","306.0","0","645.0","3.0","2.0","7.0","0","1.0","0","0","16.0","0","2.0","4.0","0","3.0","1.0","0","0","0"
"29","239.0","6548.0","37166.0","0.8","6.0","0","1.0","1.0","1.0","5.0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","3.0","4.0","1.0","23.0","0","2.0","0","0","0","0","0","11.0","0","0","4.0","0","0","0","0","0","1.0","0","2.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","1.0","0","1.0","0","0","1.0","0","8.0","0","1.0","2.0","0","0","0","1.0","2.0","0","0","0","0","1.0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","412.0","0","760.0","1.0","0","7.0","0","0","0","0","44.0","0","0","1.0","0","0","1.0","0","1.0","0"
"30","127.0","2857.0","37166.0","0.74","1.0","0","2.0","1.0","0","1.0","0","0","0","1.0","1.0","0","0","0","1.0","0","0","0","0","0","0","1.0","0","8.0","0","0","0","0","0","0","0","2.0","0","0","1.0","0","0","0","0","0","1.0","0","1.0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","1.0","0","0","0","0","1.0","0","4.0","0","0","0","0","0","1.0","0","0","0","0","0","0","2.0","0","0","0","0","1.0","0","0","0","0","0","0","0","1.0","0","246.0","0","342.0","0","2.0","11.0","0","0","0","0","4.0","0","4.0","4.0","0","0","0","0","0","0"
"31","325.0","6723.0","37166.0","0.78","1.0","0","0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","1.0","2.0","0","8.0","0","0","2.0","0","0","0","0","7.0","0","1.0","1.0","0","0","0","0","0","1.0","0","0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","3.0","0","9.0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","528.0","0","879.0","0","1.0","9.0","0","0","0","0","13.0","0","2.0","1.0","0","8.0","1.0","0","1.0","0"
"32","191.0","3470.0","37166.0","0.73","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","1.0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","3.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","219.0","0","299.0","0","1.0","5.0","0","0","0","0","4.0","0","1.0","0","0","2.0","0","0","1.0","0"
"33","381.0","4902.0","37166.0","0.66","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","5.0","0","17.0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","2.0","0","1.0","10.0","1.0","0","0","1.0","0","0","0","1.0","0","0","0","478.0","0","561.0","1.0","0","15.0","0","0","0","0","3.0","0","0","0","0","8.0","0","0","0","0"
"34","363.0","2251.0","37166.0","0.63","1.0","0","0","1.0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","3.0","1.0","0","0","0","0","0","0","0","0","0","5.0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","1.0","16.0","0","1.0","0","0","0","0","0","0","0","0","0","1.0","2.0","0","0","3.0","0","0","0","0","0","0","1.0","0","0","0","0","183.0","0","429.0","2.0","0","9.0","0","0","0","0","1.0","0","0","2.0","0","1.0","0","0","2.0","0"
"35","378.0","2898.0","37166.0","0.61","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0","0","26.0","0","2.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0","2.0","1.0","0","0","0","0","0","0","0","0","592.0","0","786.0","2.0","0","8.0","0","0","0","0","5.0","0","0","0","0","10.0","0","0","0","0"
"36","231.0","3188.0","37166.0","0.62","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","0","2.0","1.0","17.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0","0","0","0","0","0","0","0","0","0","0","0","350.0","0","489.0","2.0","0","5.0","0","1.0","0","0","1.0","0","0","1.0","0","15++","0","0","2.0","0"
"37","638.0","2191.0","37166.0","0.69","0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","0","0","0","3.0","0","0","9.0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","3.0","1.0","26.0","0","2.0","2.0","0","0","0","0","0","0","0","0","0","5.0","0","2.0","8.0","0","2.0","0","1.0","0","0","0","0","0","0","0","666.0","0","1016.0","3.0","0","26.0","1.0","0","0","0","5.0","0","0","0","0","24.0","0","0","3.0","0"
"38","452.0","6358.0","37166.0","0.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0","0","0","0","0","1.0","0","0","4.0","0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0","0","9.0","0","0","1.0","0","0","0","0","0","0","0","1.0","0","0","0","1.0","0","1.0","1.0","0","0","0","0","0","0","0","0","0","556.0","0","1156.0","1.0","0","10.0","0","0","0","0","8.0","0","0","1.0","0","0","0","0","1.0","0"
"39","0.0","0.0","0.0","0.0","2.0","73.0","0.0","0.0","1.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","1.0","16.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","6.0","4.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","18.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","83.0","0.0","1.0","0.0","0.0","5.0","0.0","0.0","2.0","0.0","14.0","2.0","0.0","0.0","2.0","1.0","0.0","0.0","1.0","10.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","12.0","4.0","0.0","2.0","0.0","3.0","0.0","0.0"
"40","0.0","0.0","1.0","3.0","0.0","92.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","7.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","1.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","111.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","1.0","0.0","2.0","1.0","1.0","0.0","0.0","7.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","23.0","5.0","0.0","1.0","0.0","1.0","0.0","0.0"
"41","0.0","0.0","0.0","3.0","0.0","102.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","7.0","0.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3.0","0.0","5.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","1.0","137.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","14.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0"
"42","0.0","0.0","0.0","1.0","1.0","117.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","4.0","0.0","0.0","0.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","6.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","0.0","42.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","149.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","25.0","5.0","0.0","3.0","1.0","1.0","0.0","1.0","12.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","1.0","0.0","0.0","6.0","0.0"
"43","0.0","0.0","0.0","1.0","0.0","142.0","3.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","2.0","2.0","0.0","6.0","0.0","1.0","3.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","12.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.0","1.0","25.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","0.0","120.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","45.0","3.0","0.0","5.0","1.0","0.0","0.0","0.0","6.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","2.0","0.0","2.0","0.0","3.0","1.0","0.0"
"44","0.0","0.0","0.0","2.0","1.0","133.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","5.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","16.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","178.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","30.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","2.0","0.0","2.0","0.0","1.0","0.0","0.0"
"45","0.0","0.0","0.0","0.0","0.0","193.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","3.0","0.0","1.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","10.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","33.0","0.0","6.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","99.0","0.0","0.0","0.0","5.0","5.0","0.0","0.0","0.0","0.0","27.0","7.0","0.0","4.0","0.0","0.0","0.0","2.0","1.0","18.0","0.0","1.0","0.0","0.0","3.0","0.0","0.0","15.0","6.0","0.0","1.0","0.0","10.0","1.0","0.0"
