"","Thickness","Acridocarpus","Adenia","Adina","Aeschynomene","Afraegle","Aidia","Alchornea","Allophylus","Amanoa-type","Amaranthaceae","Anacardiaceae","Anthocerotaceae","Anthocleista","Anthonota","Anthostema-type","Antiaris-type toxicaria","Antrocaryon-type","Aphania","Apocynaceae","Avicennia","Baissea","Balanites","Baphia-type","Berlinia-type","Blighia","Borassus","Borreria","Bosqueia","Bridelia","Burseraceae","Calpocalyx-type","Calycobolus","Campylospermum","Canarium-type","Canthium","Cardiospermum","Cassia-type","Cassine-type","Casuarina","Ceiba pentandra","Celastraceae","Celastrus-type","Celtis","Cissus","Clematis","Cnestis ferruginea-type","Cocos nucifera-type","Coffea","Combretaceae","Commelina-type benghalensis","Compositae","Convolvulus-type","Copaifera-type","Corchorus-type","Cordia","Cressa-type","Crossopteryx-type","Croton-type","Cryptosepalum-type","Cylicodiscus","Cynometra-type","Cyperaceae","Daniellia","Desmodium-type repandum","Desplatsia","Dialium","Dichostema glaucescens-type","Didelotia-type","Diodia","Diospyros","Distemonanthus benthamianus-type","Dodonaea","Drypetes","Elaeis guineensis","Entada gigas","Entada-type","Erythrophleum","Erythrophleum-type","Erythroxylum-type","Eucalyptus","Euphorbia","Fagara","Flabellaria-type","Funtumia","Gardenia","Gramineae","Grewia","Harungana","Heisteria-type","Heteropteris","Hevea brasiliensis","Hippocrateaceae","Holoptelea grandis","Hugonia","Hymenocardia","Hymenodictyon","Icacinaceae","Indetermines","Indigofera","Irvingia-type","Klaineanthus gaboniae","Landolphia-type","Lannea-type","Leptonychia","Limoniastrum","Loesenera-type","Lophira alata","Macaranga-type","Mallotus","Malpighiaceae","Malvaceae","Maprounea","Martretia","Maytenus","Meliaceae","Mimosa pigra","Mimosoideae","Mitracarpus","Monocotyledoneae","Monoletes","Moraceae","Morelia senegalensis","Morinda lucida","Musanga","Mussaenda-type","Myrianthus-type","Myrica","Nesogordonia","Nypa","Ochnaceae","Octolobus","Oldenlandia-type","Oleaceae","Oricia","Oxystigma","Pandanus-type","Papilionoideae","Parinari","Pentabrachion-type","Pentaclethra macrophylla","Periplocaceae","Phyllanthus","Picralima-type","Pinus","Piptadeniastrum","Plagiostyles-type","Pleiocarpa","Pleurostylia","Polygonum","Portulaca","Portulacaceae","Pseudospondias","Psychotria","Pterocarpus","Pycnanthus","Raphia","Raphiostylis","Rauvolfia","Rhizophora","Rhus longipes-type","Rhynchosia","Ricinus communis-type","Rinorea","Rothmannia","Rubiaceae","Rutaceae","Rytiginia","Sabicea","Sacoglottis gabonensis","Salacia-type","Santiria trimera","Sapotaceae","Selaginella","Sherbournia","Solanum-type","Sorindeia","Spondianthus","Stachyothyrsus","Sterculia-type","Sterculiaceae","Stereospermum","Strombosia-type","Syzygium","Talinum","Tarenna","Teclea","Tetrorchidium","Theccacoris g","Treculia africana","Trema","Trichoscypha","Triletes","Triplochiton scleroxylon","Triumfetta","Typha","Uapaca staudtii","Urticaceae","Utricularia","Vernonia","Vismia","Ximenia"
"1",1,3,0,4,0,0,0,49,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,0,0,0,0,1,9,7,0,0,0,0,0,1,0,0,0,0,1,44,0,0,0,0,2,0,0,0,25,3,0,15,2,3,3,0,0,0,0,2,20,2,9,0,0,0,11,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,1,4,0,0,40,0,0,0,5,0,0,0,0,0
"2",1,0,0,1,0,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,3,0,2,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,80,0,0,0,1,1,0,0,0,0,1,18,23,0,0,0,0,0,0,0,3,0,0,0,120,0,0,0,0,4,0,0,0,41,1,0,5,0,2,0,0,0,0,0,1,19,4,10,0,0,0,15,0,2,0,0,0,0,72,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,2,0,6,0,0,3,4,0,0,0,0,0,0,0,8,0,1,4,0,28,0,1,2,10,0,0,1,0,0
"3",1,1,1,3,0,0,3,96,0,0,1,0,12,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,3,1,0,0,0,0,8,1,2,1,1,2,0,0,6,1,0,0,0,0,8,0,20,0,0,2,0,0,1,1,0,0,6,87,0,0,0,2,0,0,0,0,0,1,23,17,0,5,0,0,0,0,0,2,0,0,0,252,1,0,0,0,11,0,1,1,70,9,0,10,0,3,1,1,5,0,0,3,9,19,1,0,0,0,25,1,1,0,0,1,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,22,9,0,11,0,0,6,3,0,0,0,0,0,0,0,8,0,0,2,0,17,0,0,0,25,0,0,0,1,0
"4",1,1,2,3,0,0,0,38,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,6,4,0,0,0,0,6,2,7,1,0,0,0,0,0,1,0,0,3,86,0,0,0,6,0,0,0,0,0,1,20,12,0,0,0,0,0,0,0,3,0,0,0,136,0,0,0,0,4,0,0,0,39,3,0,6,0,5,0,0,0,0,0,7,5,4,6,0,0,0,10,0,0,0,1,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,3,0,4,0,0,5,8,0,0,0,0,0,0,0,4,0,1,1,0,20,0,0,0,16,0,0,0,0,0
"5",1,2,5,5,0,0,2,59,0,0,4,0,9,2,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,2,0,0,0,0,0,5,1,7,0,0,1,0,0,13,1,0,0,1,0,4,1,9,0,0,0,1,0,0,2,0,1,15,103,0,0,0,7,1,1,0,0,0,2,18,13,1,0,0,0,0,0,1,3,1,0,0,138,0,0,0,0,1,0,1,1,57,8,0,13,1,3,0,1,6,0,0,14,14,10,2,3,0,0,30,1,2,0,1,0,0,145,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,5,1,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,4,0,2,0,0,1,2,0,0,0,0,0,0,0,4,0,0,1,0,17,0,0,2,20,1,0,0,0,0
"6",1,1,1,2,1,0,1,32,0,0,1,0,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,0,7,52,0,0,2,2,0,0,0,0,0,1,16,4,0,0,0,2,0,0,0,0,0,1,0,83,1,0,0,0,0,0,0,1,37,8,0,11,0,4,0,0,3,0,0,4,6,14,2,0,0,0,19,0,5,0,1,0,0,103,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,7,0,5,0,0,0,1,0,0,0,0,2,0,0,8,0,0,0,0,8,0,0,0,15,1,0,0,0,0
"7",1,0,0,2,0,0,3,24,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,7,0,2,0,0,2,0,0,2,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,5,33,0,0,0,2,0,0,0,1,0,0,16,7,0,0,0,0,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0,1,22,8,0,6,0,3,0,0,2,0,0,2,6,5,0,0,0,0,15,0,2,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0
"8",1,0,1,0,0,0,1,16,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,39,0,0,0,1,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,10,5,0,2,0,4,0,0,0,0,0,1,3,6,0,1,0,0,13,0,0,0,0,0,0,68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,10,1,0,0,4,0,0,0,0,0
"9",1,0,0,2,0,0,0,45,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,3,0,0,0,0,0,5,0,1,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,94,0,0,0,3,0,0,0,0,0,0,22,15,0,2,0,0,0,0,0,2,0,0,0,135,0,0,0,0,3,0,0,0,35,6,0,5,0,2,0,0,2,0,0,2,15,8,6,3,0,0,20,1,3,0,0,0,0,72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,11,3,0,6,0,0,4,9,0,0,0,0,0,0,0,3,0,0,1,1,48,0,0,0,27,0,3,0,0,0
"10",1,0,1,3,0,0,1,47,0,0,0,0,14,1,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,3,5,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,6,24,0,0,0,2,0,1,0,0,0,2,10,3,0,1,0,0,1,0,0,0,1,1,0,67,0,0,0,0,0,0,2,0,26,5,0,13,0,4,0,0,0,0,0,3,6,10,3,1,0,0,11,0,3,0,0,0,0,79,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,0,3,0,0,3,4,0,0,0,0,0,0,0,6,0,0,1,0,6,0,0,2,15,0,0,0,0,0
"11",1,0,1,3,0,0,0,29,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,1,2,34,0,0,0,1,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,1,0,0,72,0,1,1,0,0,0,0,0,27,5,0,9,0,2,0,0,1,0,0,2,2,4,1,0,0,0,16,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,17,1,0,0,0,0
"12",1,0,0,7,0,0,1,36,0,0,3,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,2,0,0,0,0,0,8,1,0,1,0,0,5,1,3,0,0,0,0,0,0,1,0,0,10,93,0,0,0,3,0,1,0,0,0,3,11,6,0,1,0,0,0,0,0,1,0,0,0,120,0,0,0,0,0,0,1,0,57,5,0,13,0,1,0,0,0,0,0,3,10,2,5,0,0,0,22,0,4,0,0,0,5,84,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,3,0,1,1,1,0,0,0,0,0,1,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,2,0,1,0,0,3,0,3,0,0,1,0,0,1,8,0,0,0,0,12,0,0,2,17,0,0,0,0,0
"13",1,0,1,4,0,0,0,52,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,2,0,0,6,3,0,0,0,0,5,0,1,0,0,0,0,0,0,4,0,0,10,79,0,0,0,8,0,0,0,0,0,2,23,22,0,0,0,0,0,0,0,0,0,1,0,134,1,0,0,0,1,0,0,0,57,11,0,7,0,3,0,0,5,0,0,2,6,7,3,0,0,0,32,0,5,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,14,2,0,8,0,1,6,0,0,0,0,0,0,0,0,3,0,0,0,0,32,0,0,0,16,0,0,0,1,0
"14",1,1,1,3,0,0,1,84,1,0,1,2,12,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,3,1,1,0,0,0,5,0,5,0,0,0,0,0,15,0,0,0,0,0,6,1,11,0,0,0,0,0,1,2,0,0,16,105,0,0,0,0,0,0,0,0,0,0,24,5,0,1,0,0,0,0,2,2,1,0,0,181,0,0,0,0,0,0,0,1,72,2,0,13,1,9,0,0,6,0,0,6,10,10,6,0,0,3,40,0,3,0,0,0,3,129,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,4,0,1,9,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,18,5,1,6,1,0,7,7,0,0,0,0,0,0,1,9,0,1,0,0,28,0,0,2,30,0,0,0,0,0
"15",1,0,1,4,0,0,0,73,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,0,3,2,0,0,0,2,3,0,12,0,0,0,0,0,21,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,8,89,0,0,0,0,0,0,0,0,0,1,32,9,0,2,1,0,0,0,0,2,0,0,0,181,0,0,2,0,0,0,0,0,60,6,0,15,0,3,0,0,6,0,0,4,15,5,0,1,0,3,22,0,6,1,1,0,4,110,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,9,0,2,0,0,0,0,0,0,3,0,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,12,2,0,7,1,0,7,17,0,0,0,0,0,0,0,5,0,1,4,0,12,0,0,0,24,0,0,0,0,1
"16",2,0,1,1,0,0,0,33,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,7,0,0,0,0,0,2,0,4,0,0,2,0,0,8,0,0,0,0,0,1,1,8,0,0,0,0,0,0,1,0,0,4,43,0,0,0,1,0,0,0,1,0,0,12,8,0,0,0,0,0,0,0,2,0,2,0,98,0,0,0,0,0,0,0,0,30,2,0,4,0,1,0,0,1,0,0,5,4,3,0,0,0,2,14,0,2,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,1,0,5,0,0,2,7,0,0,0,0,0,0,0,6,0,0,0,0,4,1,1,1,6,0,0,0,0,0
"17",2,2,0,1,0,0,0,116,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,14,0,0,0,0,0,3,0,5,0,0,0,0,1,17,11,0,0,0,0,9,0,16,0,0,0,1,0,0,0,0,0,7,146,0,0,0,11,0,0,0,0,0,1,32,24,0,6,0,0,0,0,0,7,2,2,0,238,2,0,0,0,1,1,0,0,94,7,0,19,1,10,1,0,1,0,0,6,9,8,1,0,1,0,18,0,1,0,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,11,0,0,1,0,0,1,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,21,5,0,8,0,0,6,3,0,0,0,0,0,0,0,20,0,1,1,0,29,0,0,0,38,0,0,0,0,0
"18",2,2,3,0,0,0,1,60,0,1,2,0,8,0,0,2,0,0,0,1,0,0,0,1,10,1,0,0,0,2,1,1,3,0,2,3,0,9,0,0,2,1,0,16,4,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,8,39,0,0,0,1,0,0,0,0,0,1,30,5,0,1,0,0,0,0,0,2,0,0,0,166,0,0,0,0,0,0,0,0,68,3,0,18,1,3,0,0,1,0,0,6,4,2,1,0,0,0,19,0,9,0,0,0,2,101,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,17,5,0,8,0,0,1,8,0,0,0,0,0,0,0,11,0,0,1,0,26,0,0,0,22,0,0,0,0,0
"19",2,0,3,0,0,0,6,125,1,0,8,1,31,1,0,0,0,0,2,2,0,0,2,0,17,0,0,0,0,3,2,0,3,0,0,3,0,10,0,0,2,0,0,21,1,0,0,0,0,8,1,16,0,0,1,0,0,0,4,0,0,13,145,1,0,2,2,1,0,1,1,0,0,51,24,3,0,2,0,0,0,0,7,2,1,0,215,0,0,0,0,0,0,1,2,100,8,1,35,5,2,0,0,4,2,0,11,8,3,1,0,0,7,36,0,11,0,0,1,6,209,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,1,0,9,0,1,0,0,0,0,0,0,0,1,2,1,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,3,39,13,0,12,0,0,9,0,21,1,0,0,0,0,1,19,0,0,2,0,53,0,0,2,41,0,0,1,0,0
"20",2,0,3,1,0,0,4,117,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,2,11,0,0,0,1,5,2,0,0,0,2,7,0,4,0,0,0,0,0,12,3,0,0,0,0,10,0,12,0,1,0,0,0,1,1,0,1,12,111,3,0,2,8,0,0,1,1,1,0,29,14,0,2,2,0,0,0,1,9,0,2,0,180,0,1,0,1,0,1,1,0,96,1,0,14,2,5,0,0,1,0,0,17,7,5,4,0,0,6,26,0,11,0,0,0,4,140,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,1,10,0,0,0,1,0,0,0,0,0,0,2,1,6,0,0,0,0,1,0,0,0,0,1,0,0,3,1,2,3,25,11,0,11,0,0,6,7,0,0,0,0,0,0,0,12,0,0,4,0,37,0,0,1,34,0,0,1,0,0
"21",2,0,0,0,0,0,1,27,0,0,2,0,11,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,1,0,1,0,0,0,0,6,0,1,0,0,0,0,0,11,1,0,0,0,0,7,0,2,0,0,0,0,0,0,2,0,0,7,74,0,0,1,7,0,1,0,1,0,0,19,9,0,0,0,0,0,0,0,3,0,1,0,81,0,0,0,0,0,0,0,1,42,6,0,12,1,2,0,1,0,0,0,2,4,4,4,0,0,1,14,0,4,0,0,0,0,59,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,5,5,0,10,0,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0,19,0,0,0,21,0,0,0,0,1
"22",2,0,2,9,0,0,0,10,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,3,7,0,0,0,1,6,0,0,0,1,0,5,0,3,0,0,1,0,0,7,4,0,0,0,0,5,0,13,0,0,0,0,2,0,4,0,0,7,182,0,0,0,4,0,0,0,0,0,2,36,34,0,0,0,0,0,0,0,20,0,0,0,190,3,0,0,0,0,0,0,0,88,4,0,6,0,4,0,0,4,0,1,4,5,4,1,2,0,0,17,2,6,0,0,0,0,82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,3,6,0,6,0,3,0,0,0,0,1,1,0,0,0,1,0,0,13,9,0,16,0,0,6,1,0,0,0,0,0,1,0,10,0,0,3,1,35,0,2,1,25,0,0,0,0,0
"23",2,1,3,5,0,0,1,82,1,0,1,1,20,1,0,1,0,0,0,1,0,0,0,2,7,0,0,1,0,3,1,0,0,0,1,4,0,3,0,0,1,0,0,28,0,0,0,0,0,7,0,12,0,0,0,0,0,0,1,0,1,11,129,0,0,0,4,0,0,0,0,0,0,33,16,0,2,0,0,1,0,0,9,0,0,0,147,0,0,0,0,0,0,3,1,90,5,0,16,2,4,0,0,3,0,0,2,13,7,1,2,0,5,28,0,8,0,1,0,2,107,0,3,0,2,0,0,1,1,2,0,1,0,0,1,0,0,6,0,1,4,1,10,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,23,5,0,11,0,0,6,10,1,0,0,0,0,0,0,6,0,1,4,1,32,0,0,0,31,0,0,0,0,0
"24",2,3,1,9,0,1,1,68,0,0,1,2,4,1,3,0,0,0,0,2,0,0,0,1,7,0,0,0,0,2,0,3,0,0,0,17,0,4,0,0,1,0,3,16,6,0,0,0,0,5,2,6,0,0,0,0,0,0,4,0,0,2,209,0,1,0,0,0,0,0,0,0,1,33,29,0,3,0,0,0,0,1,4,0,0,1,158,0,0,0,0,0,1,0,2,82,9,0,12,0,3,3,0,3,1,0,7,16,4,16,0,0,0,12,0,1,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,4,0,3,0,0,0,1,0,0,1,0,0,0,0,8,1,1,2,0,22,0,0,1,29,0,0,0,1,0
