"","Adenorandia-type kalbreyeri","Alchornea","Allophylus","Anacardiaceae undiff.","Anopyxis klaineana","Anthocleista","Antiaris-type toxicaria","Antidesma-type","Aphania-type senegalensis","Aporrhiza","Araliaceae undiff.","Balanites","Bersama","Bertiera","Blighia","Bridelia-type","Brucea","Butyrospermum","Campylospermum","Carapa-type procera","Celastraceae undiff.","Celtis","Cf. Leonardoxa","Clausena anisata","Cnestis-type","Cocculus","Commiphora","Crateva adansonii","Croton-type","Crudia-type","Cussonia","Diospyros","Dombeya-type","Drypetes-type","Embelia-type","Entandrophragma-type","Ericaceae undiff.","Erythrococca-type3","Erythrococca-type4","Eugenia/Syzygium","Faurea-type","Ficus","Flacourtia","Flueggea","Gnidia-type","Harungana","Holoptelea grandis","Hymenocardia","Ilex mitis","Irvingia-type","Ixora-type","Keetia-type cornelia","Khaya-type","Klaineanthus gaboniae","Lannea-type","Lecaniodiscus/Aphania senegalensis","Lindackeria-type","Lonchocarpus","Lophira","Macaranga-type","Maerua-type","Mallotus-type","Margaritaria discoidea","Maytenus","Meliacea undiff.","Mitragyna-type inermis","Morelia senegalensis","Morus","Myrianthus-type","Myrica","Myrsine africana","Nuxia-type","Olea capensis","Ormocarpum","Pappea capensis","Parkinsonia aculeata-type","Pausinystalia-type","Pavetta","Pentaclethra macrophylla","Phyllanthus-type","Podocarpus","Polyscias","Prunus","Pseudospondias-type","Psorospermum","Psydrax subcordata","Pycnanthus","Rapanea","Rhamnaceae undiff.","Rhamnus-type","Rhus-type","Salix","Santiria-type","Sapotaceae undiff.","Schefflera","Schrebera","Sorindeia-type","Sterculia-type","Strombosia","Tapura fischeri-type","Teclea-type","Tetrorchidium","Thecacoris-type","Trilepisium-type madagascariensis","Uapaca","Zanthoxylum-type","Acacia","Acridocarpus","Baphia-type","Cassine","Cissampelos-type","Clematis-type","Entada-type","Landolphia-type3","Maesa","Olacaceae undiff.","Polygala-type","Rubus","Sapindaceae undiff.","Tarenna-type","Tetracera","Tapinanthus-type","Anthospermum","Apocynaceae undiff.","Acalypha","Acanthaceae undiff.","Apiaceae undiff.","Artemisia","Asteraceae undiff.","Asteraceae undiff.2","Astripomoea","Basilicum polystachyon/Hoslundia opposita","Boscia-type","Canthium","Capparidaceae undiff.","Cassia-type","Cissus","Clutia-type","Cochlospermum","Combretaceae/Melastomataceae undiff.","Euphorbiaceae undiff.","Euphorbia-type","Fabaceae undiff.","Hypericum","Indigofera","Lamiaceae undiff.","Lippia-type","Lobelia","Monocotyledoneae undiff.","Rosaceae undiff.","Rubiaceae undiff.","Solanaceae undiff.","Triumfetta-type","UNKNOWN","Walhembergia","Amaranthaceae/Chenopodiaceae undiff.","Achyranthes-type","Aerva-type","Alchemilla","Anagallis","Begonia","Brassicaceae undiff.","Celosia argentea-type","Centaurea-type","Crassula","Cyathogyne","Cyathula","Cyperaceae Ascolepis","Dipsacaceae undiff.","Dolichos-type","Eriosema-type","Galium/Rubia","Gentianaceae undiff.","Hermannia-type","Hypoestes-type","Hyptis","Impatiens","Isoglossa","Justicia-type","Laportea-type","Leonotis-type","Leucas-type","Lotus","Mellera-type","Mitracarpus villosus","Phaulopsis","Plantago","Poaceae undiff.","Primulaceae undiff.","Pterygota","Rumex","Sauvagesia erecta","Sebaea","Spermacoce-type","Streptocarpus","Swertia abyssinica-type","Thalictrum","Urticaceae undiff.","Ricinus communis","Stephania-type abyssinica","Cyperaceae undiff.","Hydrocotyle","Laurembergia tetrandra","Ludwigia-type","Mesanthenum","Nymphaea","Onagraceae undiff.","Ottelia-type","Polygonum senegalense-type","Potamogeton","Typha","Xyris","Phoenix","Pteris","Spores monolètes Lisse","Spores monolètes NL","Spores trilètes L","Spores trilètes NL"
"159",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,1,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,224,0,0,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0,1,0,1,0,0,0,12,2,0,2
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,3,0,16,0,7,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,182,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2,0,0,0,9,2,1,4
"161",0,2,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,3,0,3,0,0,0,0,0,3,0,7,19,0,0,0,0,0,0,0,12,0,4,0,0,0,0,1,0,1,0,0,0,2,28,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,2,0,0,8,0,0,0,1,0,0,0,0,1,0,9,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,8,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,256,0,0,2,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,2,3
"162",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,0,1,0,0,0,0,0,1,0,2,5,0,0,0,0,1,0,0,7,0,2,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,1,0,4,2,7,0,0,1,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,19,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,185,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,11,5,5,1
"163",0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,9,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,1,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,21,0,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,1
"164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,14,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,12,0,0,0,3,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,9,0,5,4,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,6
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,2,0,0,0,0,18,0,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,17,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,3,12
"166",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,9,0,25,0,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,5,0,2,0,0,0,159,0,0,2,0,0,0,0,1,0,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,1,2
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,161,0,0,1,0,0,0,0,1,0,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,4
"168",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,62,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,0,0,0,2,0,6,0,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,1,27
"169",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,11,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,21
"170",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,6,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,12,0,49,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,193,0,0,2,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,1,12
"171",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,10,0,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,5,1,0,0,0,0,0,0,0,1,0,51,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,9,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0,11
"172",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,11,0,29,0,4,4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,245,0,0,3,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,3
"173",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,9,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,0,2,0,0,0,0,0,12,0,23,0,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,2,0,0,0,19,1,0,0
"174",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,1,0,0,0,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,40,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,8,0,0,0,0,0,12,0,33,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,249,0,0,2,0,0,0,0,2,0,0,0,1,60,0,0,0,0,0,0,0,0,0,1,0,0,0,13,3,2,7
"175",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,18,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,9,0,9,0,8,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,278,0,0,3,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,1,5
