Map Locale,LON,LAT,COUNTRY,REGION,,,
Songolo,11.86641,-4.7662,Congo,ATL-FOR,,,
Coraf,11.85,-4.75,Congo,ATL-FOR,,,
Kitina Lake,12,-4.27,Congo,ATL-FOR,,,
Ngamakala Pond,15.38333,-4.075,Congo,BATEKE,,,
Lake Sinnda,12.804167,-3.836111,Congo,ATL-FOR,,,
Bois de Bilanko,15.350278,-3.516667,Congo,ATL-FOR,,,
Bemba Yanga,16.52513,2.18726,Congo,NCONGO,,,
Lake Ossa,9.996465,3.77,Cameroon,ATL-FOR,,,
Ngotto Forest,17.46669641,3.833375907,CAR,NCONGO,,,
Mboandong,9.2689,4.45,Cameroon,ATL-FOR,,,
Niger River Delta,6.433333,4.55,Nigeria,ATL-FOR,,,
Monoun,10.581908,5.566042,Cameroon,ATL-MTN,,,
Bambili,10.240641,5.933689,Cameroon,ATL-MTN,,,
Mbi Crater,10.348549,6.089273,Cameroon,ATL-MTN,,,
Tizong,13.58333,7.25,Cameroon,ATL-MTN,,,
Mbalang,13.73333333,7.316666667,Cameroon,ATL-MTN,,,
Lake Tilla,12.12972,10.39556,Nigeria,SAHEL,,,
Kaigama,11.56889,13.25278,Nigeria,SAHEL,,,
Bal Lake,10.94944,13.30694,Nigeria,SAHEL,,,
Kajemarum Oasis,11.03694,13.30833,Nigeria,SAHEL,,,
Jikariya,11.077,13.31367,Nigeria,SAHEL,,,
Tjeri,16.5,13.73333,Chad,SAHEL,,,
Ekolongouma,17.6399,1.1835,Congo,NCONGO,,,
Mai Ndombe,18.281984,-1.972768,DRC,SCONGO,,,
Kamalété,11.77,-0.72,Gabon,ATL-FOR,,,
Nguene,10.47,-0.2,Gabon,ATL-FOR,,,
Mariador,9.35,-0.17,Gabon,ATL-FOR,,,
Goualougo,16.51,2.16,Congo,NCONGO,,,
Mopo Bai,"16.26139	",2.24056,Congo,NCONGO,,,
Nyabessan,10.4,2.39,Cameroon,ATL-MTN,,,
Barombi Mbo,9.4,4.67,Cameroon,ATL-MTN,,,