"","all_14C","all_err","all_nme"
"1",802,33,"B-YANGA"
"2",2834,42,"B-YANGA"
"3",4699,40,"B-YANGA"
"4",1125,30,"BAMBILI [BB-01]"
"5",1745,30,"BAMBILI [BB-01]"
"6",2170,30,"BAMBILI [BB-01]"
"7",2315,30,"BAMBILI [BB-01]"
"8",2485,30,"BAMBILI [BB-01]"
"9",3175,30,"BAMBILI [BB-01]"
"10",5515,30,"BAMBILI [BB-01]"
"11",7255,35,"BAMBILI [BB-01]"
"12",8160,45,"BAMBILI [BB-01]"
"13",10050,45,"BAMBILI [BB-01]"
"14",11560,50,"BAMBILI [BB-01]"
"15",12550,50,"BAMBILI [BB-01]"
"16",13180,60,"BAMBILI [BB-01]"
"17",14330,60,"BAMBILI [BB-01]"
"18",14150,60,"BAMBILI [BB-01]"
"19",15020,60,"BAMBILI [BB-01]"
"20",15840,70,"BAMBILI [BB-01]"
"21",16910,70,"BAMBILI [BB-01]"
"22",345,37,"LOAME [FC 400]"
"23",270,40,"MBAERE [FC 300]"
"24",480,40,"MBAERE [FC 300]"
"25",1240,40,"MBAERE [FC 300]"
"26",780,30,"MBI"
"27",1795,30,"MBI"
"28",2580,30,"MBI"
"29",4290,30,"MBI"
"30",4690,30,"MBI"
"31",5125,30,"MBI"
"32",5180,40,"MBI"
"33",6550,40,"MBI"
"34",7375,40,"MBI"
"35",8015,30,"MBI"
"36",8915,45,"MBI"
"37",9485,40,"MBI"
"38",9895,40,"MBI"
"39",10200,40,"MBI"
"40",11800,45,"MBI"
"41",12605,45,"MBI"
"42",13080,50,"MBI"
"43",1090,30,"MONOUN"
"44",2175,30,"MONOUN"
"45",1225,30,"MONOUN"
"46",1170,30,"MONOUN"
"47",1955,30,"MONOUN"
"48",2815,30,"MONOUN"
"49",9495,50,"MONOUN"
"50",10930,50,"MONOUN"
"51",11120,70,"MONOUN"
"52",13590,80,"MONOUN"
"53",13880,80,"MONOUN"
"54",60,60,"NIGERDC [2]"
"55",70,70,"NIGERDC [2]"
"56",90,90,"NIGERDC [2]"
"57",130,130,"NIGERDC [2]"
"58",660,60,"OSSA [1]"
"59",1050,260,"Ngamakala Pond"
"60",540,320,"Ngamakala Pond"
"61",1610,400,"Ngamakala Pond"
"62",6500,280,"Ngamakala Pond"
"63",22170,1200,"Ngamakala Pond"
"64",16300,280,"Ngamakala Pond"
"65",24000,1160,"Ngamakala Pond"
"66",13260,440,"Ngamakala Pond"
"67",24200,960,"Ngamakala Pond"
"68",10880,320,"Ngamakala Pond"
"69",14090,460,"Ngamakala Pond"
"70",10850,400,"Bois de Bilanko"
"71",2720,240,"Bois de Bilanko"
"72",6810,460,"Bois de Bilanko"
"73",6000,260,"Bois de Bilanko"
"74",2580,240,"Bois de Bilanko"
"75",6000,260,"Bois de Bilanko"
"76",2580,240,"Bois de Bilanko"
"77",2750,240,"Bois de Bilanko"
"78",1490,220,"Bois de Bilanko"
"79",6810,460,"Bois de Bilanko"
"80",4490,280,"Bois de Bilanko"
"81",2170,240,"Bois de Bilanko"
"82",1340,260,"Bois de Bilanko"
"83",2170,240,"Bois de Bilanko"
"84",1340,260,"Bois de Bilanko"
"85",4490,280,"Bois de Bilanko"
"86",5460,140,"Kitina Lake"
"87",4900,80,"Kitina Lake"
"88",4020,80,"Kitina Lake"
"89",490,80,"Kitina Lake"
"90",1900,80,"Kitina Lake"
"91",2770,80,"Kitina Lake"
"92",2490,120,"Kitina Lake"
"93",1340,80,"Kitina Lake"
"94",3060,340,"Coraf"
"95",1590,300,"Coraf"
"96",1590,300,"Coraf"
"97",3060,340,"Coraf"
"98",940,220,"Coraf"
"99",2830,240,"Coraf"
"100",2670,280,"Coraf"
"101",940,220,"Coraf"
"102",2670,280,"Coraf"
"103",2830,240,"Coraf"
"104",90,100,"Lake Sinnda"
"105",400,80,"Lake Sinnda"
"106",4460,100,"Lake Sinnda"
"107",1760,100,"Lake Sinnda"
"108",5240,140,"Lake Sinnda"
"109",4940,160,"Lake Sinnda"
"110",1230,100,"Lake Sinnda"
"111",650,160,"Lake Sinnda"
"112",4290,140,"Lake Sinnda"
"113",3990,140,"Lake Sinnda"
"114",4770,120,"Lake Ossa"
"115",1890,120,"Lake Ossa"
"116",3330,120,"Lake Ossa"
"117",2442,86,"Lake Ossa"
"118",3880,120,"Lake Ossa"
"119",90,120,"Lake Ossa"
"120",4580,120,"Lake Ossa"
"121",535,85,"Mbalang"
"122",1796,124,"Mbalang"
"123",6400,280,"Mbalang"
"124",4023,116,"Mbalang"
"125",6630,220,"Songolo"
"126",3065,80,"Songolo"
"127",3890,100,"Songolo"
"128",3960,120,"Songolo"
"129",4400,100,"Songolo"
"130",4630,160,"Songolo"
"131",4930,100,"Songolo"
"132",5000,120,"Songolo"
"133",5220,100,"Songolo"
"134",6100,100,"Songolo"
"135",4630,160,"Songolo"
"136",3050,80,"Songolo"
"137",3065,80,"Songolo"
"138",3190,120,"Songolo"
"139",5220,100,"Songolo"
"140",5000,120,"Songolo"
"141",4930,100,"Songolo"
"142",4400,100,"Songolo"
"143",6100,100,"Songolo"
"144",3960,120,"Songolo"
"145",6630,220,"Songolo"
"146",3890,100,"Songolo"
"147",834,35,"FC000"
"148",2171,37,"FC000"
"149",2362,39,"FC000"
"150",770,100,"BM6"
"151",2200,285,"BM6"
"152",3690,315,"BM6"
"153",6520,645,"BM6"
"154",8690,475,"BM6"
"155",9900,250,"BM6"
"156",13120,965,"BM6"
"157",13480,240,"BM6"
"158",15470,100,"BM6"
"159",17080,885,"BM6"
"160",20420,1500,"BM6"
"161",24080,3500,"BM6"
"162",1770,30,"MOPOBAI"
"163",1445,35,"MOPOBAI"
"164",1470,30,"MOPOBAI"
"165",2360,40,"MOPOBAI"
"166",2530,35,"MOPOBAI"
"167",686,29,"ING100"
"168",2011,29,"ING100"
"169",1121,77,"ING100"
"170",3755,32,"ING100"
"171",5573,55,"ING100"
"172",5040,35,"ING100"
"173",12464,49,"ING100"
"174",13286,55,"ING100"
"175",17938,90,"ING100"
"176",12222,51,"ING100"
"177",191,27,"ING800"
"178",2823,25,"ING800"
"179",8996,39,"ING800"
"180",94,28,"ING800"
"181",9693,48,"ING800"
"182",11387,56,"ING800"
"183",12348,52,"ING800"
"184",11799,45,"ING800"
"185",20691,106,"ING800"
"186",22272,437,"ING800"
"187",1490,60,"MAR2"
"188",3230,40,"MAR2"
"189",2190,40,"MAR2"
"190",3430,40,"MAR2"
"191",3440,40,"MAR2"
"192",2600,40,"MAR2"
"193",4070,75,"MAR2"
"194",2630,40,"MAR2"
"195",3795,55,"MAR2"
"196",430,40,"NGUE1"
"197",990,40,"NGUE1"
"198",1630,40,"NGUE1"
"199",1600,35,"NGUE1"
"200",1940,40,"NGUE1"
"201",3310,40,"NGUE1"
"202",2429,41,"NGUE1"
"203",2510,40,"NGUE1"
"204",2540,40,"NGUE1"
"205",4460,40,"NGUE1"
"206",4110,40,"NGUE1"
"207",2341,49,"NYABESSAN"
"208",2383,66,"NYABESSAN"
"209",2318,42,"NYABESSAN"
"210",2820,70,"NYABESSAN"
"211",2933,44,"NYABESSAN"
"212",160,45,"KAM [1]"
"213",1430,40,"KAM [1]"
"214",520,110,"KAM [1]"
"215",1255,75,"KAM [1]"
"216",1410,70,"KAM [1]"
"217",565,170,"CEN-17.4"
"218",345,60,"CEN-17.4"
"219",835,25,"CEN-17.4"
"220",1240,75,"CEN-17.4"
"221",1760,70,"CEN-17.4"
"222",2120,60,"CEN-17.4"
"223",4450,30,"CEN-17.4"
"224",6770,85,"CEN-17.4"
"225",7630,95,"CEN-17.4"
"226",7640,110,"CEN-17.4"
"227",7570,35,"CEN-17.4"
"228",8020,140,"CEN-17.4"
"229",9140,50,"CEN-17.4"
"230",8360,35,"CEN-17.4"
"231",9930,40,"CEN-17.4"
"232",10150,50,"CEN-17.4"
"233",12450,40,"CEN-17.4"
"234",13650,45,"CEN-17.4"
"235",14750,85,"CEN-17.4"
"236",11550,55,"CEN-17.4"
"237",16850,85,"CEN-17.4"
"238",14050,55,"CEN-17.4"
"239",2649,37,"EKGkm4"
"240",7652,42,"EKGkm4"
"241",8484,41,"EKGkm4"
"242",2547,37,"EKGkm7-2015"
"243",7600,38,"EKGkm7-2015"
"244",9091,39,"EKGkm7-2015"
"245",1571,35,"EKGkm9"
"246",1754,38,"EKGkm9"
"247",1720,35,"EKGkm9"
"248",702,36,"EKGkm9"
"249",4811,37,"EKGkm9"
"250",4251,37,"EKGkm9"
"251",6354,39,"EKGkm9"
"252",7662,39,"EKGkm9"
"253",7993,40,"EKGkm9"
"254",9340,41,"EKGkm9"
"255",8575,46,"ITGkm6"
